Date,Gold_Price_USD_YFinance
2006-12-01,628.0449981689453
2007-01-01,630.3904709588913
2007-02-01,666.0789505807977
2007-03-01,653.6409107555043
2007-04-01,679.9199981689453
2007-05-01,667.5863591974431
2007-06-01,654.8047543480283
2007-07-01,665.7857171921503
2007-08-01,665.05652120839
2007-09-01,715.3684178402549
2007-10-01,756.0304300059443
2007-11-01,805.5999988374256
2007-12-01,807.9599975585937
2008-01-01,891.3571341378348
2008-02-01,925.1100006103516
2008-03-01,962.9300018310547
2008-04-01,909.6636380282315
2008-05-01,888.2047613234747
2008-06-01,889.8952404203869
2008-07-01,939.9318209561435
2008-08-01,835.8333304268973
2008-09-01,828.9619053431919
2008-10-01,801.9913011633831
2008-11-01,754.8894813939145
2008-12-01,822.6681823730469
2009-01-01,861.5599945068359
2009-02-01,942.2631546823602
2009-03-01,925.2954517711293
2009-04-01,892.6666666666666
2009-05-01,929.7099975585937
2009-06-01,946.3499977805398
2009-07-01,935.509091463956
2009-08-01,949.6952369326636
2009-09-01,998.7142915271577
2009-10-01,1044.3090931285512
2009-11-01,1126.2450012207032
2009-12-01,1128.9772838245738
2010-01-01,1116.8263003700658
2010-02-01,1098.1894788240131
2010-03-01,1114.3565249235733
2010-04-01,1151.4523751395088
2010-05-01,1203.9550048828125
2010-06-01,1234.6636408025568
2010-07-01,1191.7476225353423
2010-08-01,1217.4454512162642
2010-09-01,1273.0380917503721
2010-10-01,1343.2190406436011
2010-11-01,1370.1857212611608
2010-12-01,1393.954551003196
2011-01-01,1361.679998779297
2011-02-01,1373.805265727796
2011-03-01,1422.6173891813858
2011-04-01,1481.8650024414062
2011-05-01,1511.0142880394346
2011-06-01,1527.9954556551847
2011-07-01,1577.1250061035157
2011-08-01,1758.491306470788
2011-09-01,1762.1857154482886
2011-10-01,1669.9142775762648
2011-11-01,1742.5904831659227
2011-12-01,1641.9666748046875
2012-01-01,1660.195001220703
2012-02-01,1743.8350158691405
2012-03-01,1675.6590964577415
2012-04-01,1650.5850036621093
2012-05-01,1588.2818104137075
2012-06-01,1600.690464564732
2012-07-01,1592.51904296875
2012-08-01,1629.9173902428668
2012-09-01,1748.8052593030427
2012-10-01,1747.7285737537202
2012-11-01,1721.3190452938989
2012-12-01,1684.3800048828125
2013-01-01,1670.4476260230654
2013-02-01,1627.4684030633223
2013-03-01,1591.5050048828125
2013-04-01,1484.6272804953835
2013-05-01,1416.6181918057528
2013-06-01,1342.1350036621093
2013-07-01,1285.8045543323863
2013-08-01,1352.6681574041193
2013-09-01,1345.985009765625
2013-10-01,1316.8347751783288
2013-11-01,1275.104998779297
2013-12-01,1225.0095156715029
2014-01-01,1244.0619012741815
2014-02-01,1300.9842143811677
2014-03-01,1336.4285714285713
2014-04-01,1298.423793247768
2014-05-01,1287.538097563244
2014-06-01,1282.161900111607
2014-07-01,1310.6363636363637
2014-08-01,1295.0571463448662
2014-09-01,1235.1285691034227
2014-10-01,1222.93042522928
2014-11-01,1176.1789422286183
2014-12-01,1200.168174050071
2015-01-01,1252.9249938964845
2015-02-01,1224.9105224609375
2015-03-01,1177.768182927912
2015-04-01,1199.828578404018
2015-05-01,1198.2150085449218
2015-06-01,1180.7818215110085
2015-07-01,1128.113641912287
2015-08-01,1118.7333112444196
2015-09-01,1123.8238002232142
2015-10-01,1159.859092018821
2015-11-01,1084.0050048828125
2015-12-01,1069.9454567649148
2016-01-01,1097.6420962685033
2016-02-01,1201.4050048828126
2016-03-01,1244.8818192915483
2016-04-01,1242.5380801246279
2016-05-01,1259.5904773530506
2016-06-01,1276.7454612038352
2016-07-01,1337.2100036621093
2016-08-01,1337.9565270465353
2016-09-01,1325.1142868768602
2016-10-01,1263.9800109863281
2016-11-01,1235.9600036621093
2016-12-01,1151.395252046131
2017-01-01,1193.190008544922
2017-02-01,1234.5420949835527
2017-03-01,1230.378269361413
2017-04-01,1268.6526392886512
2017-05-01,1243.7636385830965
2017-06-01,1260.0590931285512
2017-07-01,1235.9599975585938
2017-08-01,1283.7956436820652
2017-09-01,1313.9400024414062
2017-10-01,1279.2500055486505
2017-11-01,1280.6904703776042
2017-12-01,1265.5700073242188
2018-01-01,1330.675
2018-02-01,1330.0578806023848
2018-03-01,1324.2381068638392
2018-04-01,1335.3428664434523
2018-05-01,1302.6181696111505
2018-06-01,1280.0238037109375
2018-07-01,1236.0238211495537
2018-08-01,1199.9521749745245
2018-09-01,1196.705258018092
2018-10-01,1213.9695673403533
2018-11-01,1219.2381010509673
2018-12-01,1253.0473697060033
2019-01-01,1290.8618977864583
2019-02-01,1318.4473684210527
2019-03-01,1298.5285935174852
2019-04-01,1284.7857200985864
2019-05-01,1283.3727195046165
2019-06-01,1359.669989013672
2019-07-01,1413.295448996804
2019-08-01,1502.0363658558238
2019-09-01,1507.4199951171875
2019-10-01,1493.330423106318
2019-11-01,1470.0000061035157
2019-12-01,1480.8523763020833
2020-01-01,1559.933337983631
2020-02-01,1595.6157804790296
2020-03-01,1594.6500077681108
2020-04-01,1694.9809395926338
2020-05-01,1718.6900146484375
2020-06-01,1735.922735040838
2020-07-01,1847.5409046519887
2020-08-01,1966.2380836123511
2020-09-01,1920.2761869884673
2020-10-01,1900.245450106534
2020-11-01,1866.0799987792968
2020-12-01,1859.2954434481535
2021-01-01,1865.1842169510692
2021-02-01,1805.531584087171
2021-03-01,1719.5173923658288
2021-04-01,1759.7571440197173
2021-05-01,1850.6450073242188
2021-06-01,1834.1227361505682
2021-07-01,1805.5047607421875
2021-08-01,1785.231805974787
2021-09-01,1775.8999953497023
2021-10-01,1776.404750279018
2021-11-01,1819.499988374256
2021-12-01,1791.0454434481535
2022-01-01,1816.6399963378906
2022-02-01,1857.7420911287006
2022-03-01,1950.6739024286685
2022-04-01,1933.9300048828125
2022-05-01,1845.9380987258185
2022-06-01,1834.547619047619
2022-07-01,1729.8
2022-08-01,1762.4782608695652
2022-09-01,1678.6142868768602
2022-10-01,1665.8380940755208
2022-11-01,1726.047630673363
2022-12-01,1797.1142868768602
2023-01-01,1899.8349914550781
2023-02-01,1853.2368485300165
2023-03-01,1912.9608685037365
2023-04-01,2001.04736328125
2023-05-01,1993.4227294921875
2023-06-01,1941.652378627232
2023-07-01,1950.7649963378906
2023-08-01,1917.5565185546875
2023-09-01,1912.4099975585937
2023-10-01,1915.5681762695312
2023-11-01,1985.3714250837054
2023-12-01,2031.6749938964845
2024-01-01,2028.0428466796875
2024-02-01,2025.214990234375
2024-03-01,2161.8699951171875
2024-04-01,2332.590897993608
2024-05-01,2349.6318026455965
2024-06-01,2326.0789345189146
2024-07-01,2393.3363702947445
2024-08-01,2467.249988902699
2024-09-01,2572.869982910156
2024-10-01,2688.904349949049
2024-11-01,2649.8150146484377
2024-12-01,2643.5809500558034
2025-01-01,2722.9476260230654
2025-02-01,2897.1157997532896
2025-03-01,2986.4095284598216
2025-04-01,3211.152367001488
2025-05-01,3280.7380952380954
2025-06-01,3350.939990234375
2025-07-01,3341.808699898098
2025-08-01,3372.7428385416665
2025-09-01,3682.2999906994046
2025-10-01,4044.3739066745925
2025-11-01,4082.1157612047696
2025-12-01,4311.059104225852
2026-01-01,4730.8599609375
2026-02-01,4815.533365885417
